公司名称,产品名称,上市年份,上市月份,价格(元),运行内存(GB),存储容量(GB),操作系统,处理器型号,屏幕尺寸(英寸),屏幕分辨率,重量(g),评论人数,评分,电池类型,电池容量
苹果,苹果iPad 2021（64GB/WiFi版）,2021,8,2398,,64,iPadOS 15,苹果 A13,10.2,2160x1620,487,6566,9.4,锂电池,8756
苹果,苹果iPad 2022(64GB/WLAN版),2022,10,3246,,64,iPadOS 16,Apple A14,10.9,2360x1640,477,479,9.8,聚合物锂电池,7729
苹果,苹果iPad mini 6（64GB/WiFi版）,2021,9,3799,,64,iPadOS 15,苹果 A15,8.3,2266x1488,293,2931,9.4,聚合物锂电池,5216
苹果,苹果iPad Air 5（64GB/WiFi版）,2022,3,4399,8,64,iPadOS 15,Apple M1,10.9,2360x1640,461,1321,9.6,聚合物锂电池,7730
苹果,苹果iPad Pro 11英寸 2022(8GB/128GB/WLAN版),2022,10,6399,8,128,iPadOS 16,Apple M2,11,2388x1668,466,1017,9.8,聚合物锂电池,7743
苹果,苹果iPad 2020(128GB/WLAN版),2020,9,2999,,128,iPadOS 14,苹果 A12,10.2,2160x1620,490,1320,9.5,聚合物锂电池,
苹果,苹果iPad Pro 12.9英寸 2022(8GB/128GB/WLAN版),2022,10,9299,8,128,iPadOS 16,Apple M2,12.9,2732x2048,682,33,10,聚合物锂电池,11048
苹果,苹果新款iPad mini 2019（64GB/WLAN版）,2019,3,2749,,64,iOS,苹果 A12,7.9,2048x1536,300.5,2214,9.2,聚合物锂电池,5162
苹果,苹果10.9英寸iPad Air 2020(64GB/WLAN版),2020,10,4799,,64,iPadOS 14,苹果 A14,10.9,2360x1640,458,4883,9.5,聚合物锂电池,
苹果,苹果iPad Pro 11英寸 2021(8GB/128GB/WLAN版),2021,5,6199,8,128,iPadOS 14,Apple M1,11,2388x1668,466,6560,9.7,聚合物锂电池,7743
苹果,苹果iPad Pro 12.9英寸 2021(8GB/128GB/WLAN版),2021,5,8499,8,128,iPadOS 15,Apple M1,12.9,2732x2048,682,1745,9.6,聚合物锂电池,11048
苹果,苹果新iPad Pro 12.9英寸（64GB/WLAN）,2018,10,7399,,64,iOS 12.1,苹果 A12X,12.9,2732x2048,631,207,9.9,聚合物锂电池,9921
苹果,苹果iPad 2022(256GB/WLAN版),2022,10,4398,,256,iPadOS 16,Apple A14,10.9,2360x1640,477,479,9.8,聚合物锂电池,7729
苹果,苹果iPad Pro 11英寸 2020(128GB/WLAN版),2020,3,6229,,128,,苹果 A12Z,11,2388x1688,471,1046,9,聚合物锂电池,7743
苹果,苹果iPad Pro 12.9英寸 2022(16GB/2TB/Cellular版),2022,10,18999,16,2048,iPadOS 16,Apple M2,12.9,2732x2048,684,19,10,聚合物锂电池,11048
苹果,苹果iPad 2021（256GB/WiFi版）,2021,9,3698,,256,iPadOS 15,苹果 A13,10.2,2160x1620,487,6566,9.4,锂电池,8756
苹果,苹果10.5英寸iPad Air（64GB/WiFi版）,2019,3,3896,,64,iOS12,苹果 A12,10.5,2224x1668,456,21,9.2,聚合物锂电池,8162
苹果,苹果iPad Air 5（64GB/蜂窝网络版）,2022,3,5499,8,64,iPadOS 15,Apple M1,10.9,2360x1640,462,1321,9.6,聚合物锂电池,7729
苹果,苹果iPad mini 6（64GB/蜂窝网络版）,2021,9,4999,,64,iPadOS 15,苹果 A15,8.3,2266x1488,297,2931,9.4,聚合物锂电池,5216
苹果,苹果iPad Air 5（256GB/WiFi版）,2022,3,5999,8,256,iPadOS 15,Apple M1,10.9,2360x1640,461,1321,9.6,聚合物锂电池,7729
苹果,苹果iPad mini 6（256GB/WiFi版）,2021,9,4999,,256,iPadOS 15,苹果 A15,8.3,2266x1488,293,2931,9.4,聚合物锂电池,5216
苹果,苹果iPad Pro 11英寸 2022(8GB/256GB/WLAN版),2022,10,7599,8,256,iPadOS 16,Apple M2,11,2388x1668,466,1017,9.8,聚合物锂电池,7743
苹果,苹果iPad Pro 11英寸 2022(8GB/256GB/Cellular版),2022,10,8799,8,256,iPadOS 16,Apple M2,11,2388x1668,468,1017,9.8,聚合物锂电池,7743
苹果,苹果iPad Pro 12.9英寸 2022(8GB/512GB/WLAN版),2022,10,11799,8,512,iPadOS 16,Apple M2,12.9,2732x2048,682,33,10,聚合物锂电池,11048
苹果,苹果iPad Pro 12.9英寸 2020(256GB/Cellular版),2020,3,9899,,256,,苹果 A12Z,12.9,2732x2048,643,598,8.8,聚合物锂电池,7743
苹果,苹果iPad Pro 11英寸 2022(8GB/128GB/Cellular版),2022,10,7799,8,128,iPadOS 16,Apple M2,11,2388x1668,468,1017,9.8,聚合物锂电池,7743
苹果,苹果iPad Pro 12.9英寸 2020(128GB/WLAN版),2020,3,7899,,128,,苹果 A12Z,12.9,2732x2048,641,598,8.8,聚合物锂电池,7743
苹果,苹果新款9.7英寸iPad（128GB/WiFi版）,2018,3,3388,,128,iOS 11,苹果 A10,9.7,2048x1536,469,154,9.8,聚合物锂电池,8756
苹果,苹果iPad 2020(32GB/WLAN版),2020,9,2499,,32,iPadOS 14,苹果 A12,10.2,2160x1620,490,1320,9.5,聚合物锂电池,
苹果,苹果iPad Air 5（256GB/蜂窝网络版）,2022,3,6599,8,256,iPadOS 15,Apple M1,10.9,2360x1640,462,1321,9.6,聚合物锂电池,7729
苹果,苹果iPad mini 6（256GB/蜂窝网络版）,2021,9,6199,,256,iPadOS 15,苹果 A15,8.3,2266x1488,297,2931,9.4,聚合物锂电池,5216
苹果,苹果iPad 2022(64GB/Cellular版),2022,10,4799,,64,iPadOS 16,Apple A14,10.9,2360x1640,481,479,9.8,聚合物锂电池,7729
苹果,苹果iPad Pro 12.9英寸 2020(1TB/WLAN版),2020,3,11899,,1024,,苹果 A12Z,12.9,2732x2048,641,598,8.8,聚合物锂电池,7743
苹果,苹果iPad Pro 12.9英寸 2022(8GB/256GB/WLAN版),2022,10,9399,8,256,iPadOS 16,Apple M2,12.9,2732x2048,682,33,10,聚合物锂电池,11048
苹果,苹果iPad Pro 12.9英寸 2022(16GB/1TB/WLAN版),2022,10,15199,16,1024,iPadOS 16,Apple M2,12.9,2732x2048,682,33,10,聚合物锂电池,11048
苹果,苹果iPad Pro 12.9英寸 2020(256GB/WLAN版),2020,3,8699,,256,,苹果 A12Z,12.9,2732x2048,641,598,8.8,聚合物锂电池,7743
苹果,苹果iPad Pro 12.9英寸 2020(512GB/WLAN版),2020,3,10299,,512,,苹果 A12Z,12.9,2732x2048,641,598,8.8,聚合物锂电池,7743
苹果,苹果iPad Pro 11英寸 2022(16GB/2TB/WLAN版),2022,10,15299,16,2048,iPadOS 16,Apple M2,11,2388x1668,466,1017,9.8,聚合物锂电池,7743
苹果,苹果iPad Pro 12.9英寸 2021(8GB/128GB/Cellular版),2021,5,9699,8,128,iPadOS 14,Apple M1,12.9,2732x2048,684,1745,9.6,聚合物锂电池,11048
苹果,苹果10.9英寸iPad Air 2020(256GB/WLAN版),2020,10,5498,,256,iPadOS 14,苹果 A14,10.9,2360x1640,458,4883,9.5,聚合物锂电池,
苹果,苹果iPad Pro 12.9英寸 2022(16GB/2TB/WLAN版),2022,10,17799,16,2048,iPadOS 16,Apple M2,12.9,2732x2048,682,19,10,聚合物锂电池,11048
苹果,苹果iPad 2020(128GB/Cellular版),2020,9,3999,,128,iPadOS 14,苹果 A12,10.2,2160x1620,495,1320,9.5,聚合物锂电池,
苹果,苹果iPad 2022(256GB/Cellular版),2022,10,5999,,256,iPadOS 16,Apple A14,10.9,2360x1640,481,479,9.8,聚合物锂电池,7729
苹果,苹果iPad Pro 12.9英寸 2021(8GB/256GB/WLAN版),2021,5,8399,8,256,iPadOS 14,Apple M1,12.9,2732x2048,682,1745,9.6,聚合物锂电池,11048
苹果,苹果新iPad Pro 12.9英寸（256GB/WLAN）,2018,10,8699,,256,iOS 12.1,苹果 A12X,12.9,2732x2048,631,207,9.9,聚合物锂电池,9921
苹果,苹果iPad Pro 12.9英寸 2021(8GB/256GB/Cellular版),2021,5,10499,8,256,iPadOS 14,Apple M1,12.9,2732x2048,684,1745,9.6,聚合物锂电池,11048
苹果,苹果iPad Pro 12.9英寸 2021(16GB/1TB/WLAN版),2021,5,14099,16,1024,iPadOS 14,Apple M1,12.9,2732x2048,682,1745,9.6,聚合物锂电池,11048
苹果,苹果10.9英寸iPad Air 2020(64GB/Cellular版),2020,10,5799,,64,iPadOS 14,苹果 A14,10.9,2360x1640,460,4883,9.5,聚合物锂电池,
苹果,苹果iPad Pro 12.9英寸 2020(512GB/Cellular版),2020,3,11499,,512,,苹果 A12Z,12.9,2732x2048,643,598,8.8,聚合物锂电池,7743
苹果,苹果iPad Pro 12.9英寸 2021(8GB/512GB/Cellular版),2021,5,12099,8,512,iPadOS 14,Apple M1,12.9,2732x2048,684,1745,9.6,聚合物锂电池,11048
苹果,苹果iPad 2020(32GB/Cellular版),2020,9,3499,,32,iPadOS 14,苹果 A12,10.2,2160x1620,495,1320,9.5,聚合物锂电池,
苹果,苹果新款9.7英寸iPad（32GB/WiFi+4G版）,2018,3,3199,,32,iOS 11,苹果 A10,9.7,2048x1536,478,154,9.8,聚合物锂电池,8756
苹果,苹果iPad Pro 12.9英寸 2022(8GB/256GB/Cellular版),2022,10,10999,8,256,iPadOS 16,Apple M2,12.9,2732x2048,684,33,10,聚合物锂电池,11048
苹果,苹果iPad Pro 11英寸 2022(16GB/1TB/Cellular版),2022,10,13899,16,1024,iPadOS 16,Apple M2,11,2388x1668,468,1017,9.8,聚合物锂电池,7743
苹果,苹果新iPad Pro 12.9英寸（512GB/WLAN+Cellular）,2018,10,8499,,512,iOS 12.1,苹果 A12X,12.9,2732x2048,631,207,9.9,聚合物锂电池,9921
苹果,苹果iPad Pro 11英寸 2022(8GB/512GB/WLAN版),2022,10,8499,8,512,iPadOS 16,Apple M2,11,2388x1668,466,1017,9.8,聚合物锂电池,7743
苹果,苹果10.9英寸iPad Air 2020(256GB/Cellular版),2020,10,6999,,256,iPadOS 14,苹果 A14,10.9,2360x1640,460,4883,9.5,聚合物锂电池,
苹果,苹果新款9.7英寸iPad（128GB/WiFi+4G版）,2018,3,3749,,128,iOS 11,苹果 A10,9.7,2048x1536,478,154,9.8,聚合物锂电池,8756
苹果,苹果iPad Pro 12.9英寸 2022(8GB/512GB/Cellular版),2022,10,12989,8,512,iPadOS 16,Apple M2,12.9,2732x2048,684,33,10,聚合物锂电池,11048
苹果,苹果新iPad Pro 12.9英寸（512GB/WLAN）,2018,10,10388,,512,iOS 12.1,苹果 A12X,12.9,2732x2048,631,207,9.9,聚合物锂电池,9921
苹果,苹果iPad Pro 12.9英寸 2021(16GB/2TB/Cellular版),2021,5,18999,16,2048,iPadOS 14,Apple M1,12.9,2732x2048,684,1745,9.6,聚合物锂电池,11048
苹果,苹果iPad Pro 12.9英寸 2020(1TB/Cellular版),2020,3,13099,,1024,,苹果 A12Z,12.9,2732x2048,643,598,8.8,聚合物锂电池,7743
苹果,苹果iPad Pro 11英寸 2022(16GB/1TB/WLAN版),2022,10,12499,16,1024,iPadOS 16,Apple M2,11,2388x1668,466,1017,9.8,聚合物锂电池,7743
苹果,苹果iPad Pro 12.9英寸 2021(8GB/512GB/WLAN版),2021,5,10387,8,512,iPadOS 14,Apple M1,12.9,2732x2048,682,1745,9.6,聚合物锂电池,11048
苹果,苹果iPad Pro 11英寸 2022(8GB/512GB/Cellular版),2022,10,10499,8,512,iPadOS 16,Apple M2,11,2388x1668,468,1017,9.8,聚合物锂电池,7743
苹果,苹果iPad Pro 12.9英寸 2020(128GB/Cellular版),2020,3,9099,,128,,苹果 A12Z,12.9,2732x2048,643,598,8.8,聚合物锂电池,7743
苹果,苹果新iPad Pro 12.9英寸（1TB/WLAN）,2018,10,12999,,1024,iOS 12.1,苹果 A12X,12.9,2732x2048,631,207,9.9,聚合物锂电池,9921
苹果,苹果iPad Pro 12.9英寸 2022(8GB/128GB/Cellular版),2022,10,10299,8,128,iPadOS 16,Apple M2,12.9,2732x2048,684,33,10,聚合物锂电池,11048
苹果,苹果iPad Pro 12.9英寸 2021(16GB/1TB/Cellular版),2021,5,15299,16,1024,iPadOS 14,Apple M1,12.9,2732x2048,684,1745,9.6,聚合物锂电池,11048
苹果,苹果新iPad Pro 12.9英寸（1TB/WLAN+Cellular）,2018,10,13999,,1024,iOS 12.1,苹果 A12X,12.9,2732x2048,631,207,9.9,聚合物锂电池,9921
苹果,苹果iPad Pro 12.9英寸 2022(16GB/1TB/Cellular版),2022,10,15599,16,1024,iPadOS 16,Apple M2,12.9,2732x2048,684,33,10,聚合物锂电池,11048
苹果,苹果iPad Pro 11英寸 2022(16GB/2TB/Cellular版),2022,10,17299,16,2048,iPadOS 16,Apple M2,11,2388x1668,468,267,9.8,聚合物锂电池,7743
苹果,苹果新iPad Pro 12.9英寸（64GB/WLAN+Cellular）,2018,10,8499,,64,iOS 12.1,苹果 A12X,12.9,2732x2048,631,207,9.9,聚合物锂电池,9921
苹果,苹果新iPad Pro 12.9英寸（256GB/WLAN+Cellular）,2018,10,9499,,256,iOS 12.1,苹果 A12X,12.9,2732x2048,631,207,9.9,聚合物锂电池,9921
苹果,苹果iPad Pro 12.9英寸 2021(16GB/2TB/WLAN版),2021,5,17299,16,2048,iPadOS 14,Apple M1,12.9,2732x2048,682,1745,9.6,聚合物锂电池,11048
苹果,苹果iPod touch 5（32GB）,2012,10,1890,,32,iOS 7,苹果 A5,4,1136x640,88,78,8.8,锂电池,
苹果,苹果iPad mini（16GB/Cellular）,2012,10,2688,,16,iOS 8,苹果 A5,7.9,1024x768,312,206,8.4,锂电池,
苹果,苹果iPad 4（16GB/Cellular）,2012,12,3788,1,16,iOS 6/7,苹果 A6X,9.7,2048x1536,662,73,8.3,聚合物锂电池,
苹果,苹果iPad 4（32GB/WiFi版）,2012,12,4350,1,32,iOS 6,苹果 A6X,9.7,2048x1536,652,73,8.3,聚合物锂电池,
苹果,苹果iPad 4（64GB/WiFi版）,2012,12,5230,1,64,iOS 6,苹果 A6X,9.7,2048x1536,652,73,8.3,聚合物锂电池,
苹果,苹果iPad 4（32GB/Cellular）,2012,12,5100,1,32,iOS 6,苹果 A6X,9.7,2048x1536,662,73,8.3,聚合物锂电池,
苹果,苹果iPad 4（64GB/Cellular）,2012,12,5900,1,64,iOS 6,苹果 A6X,9.7,2048x1536,662,73,8.3,聚合物锂电池,
苹果,苹果iPad mini（32GB/WiFi版）,2012,10,3100,,32,iOS 6,苹果 A5,7.9,1024x768,308,206,8.4,锂电池,
苹果,苹果iPad mini（64GB/WiFi版）,2012,10,3900,,64,iOS 6,苹果 A5,7.9,1024x768,308,206,8.4,锂电池,
苹果,苹果iPad mini（32GB/Cellular）,2012,10,4100,,32,iOS 6,苹果 A5,7.9,1024x768,312,206,8.4,锂电池,
苹果,苹果iPad mini（64GB/Cellular）,2012,10,4800,,64,iOS 6,苹果 A5,7.9,1024x768,312,206,8.4,锂电池,
苹果,苹果iPod touch 4（16GB）,2012,10,1400,,16,iOS 5,,3.5,960x640,101,85,8.2,锂电池,
苹果,苹果iPod touch 4 白色（16GB）,2012,10,1400,,16,iOS 5,,3.5,960x640,101,85,8.2,锂电池,
苹果,苹果iPad Air（16GB/WiFi版）,2013,10,2888,,16,iOS 8,苹果 A7,9.7,2048x1536,469,341,8.9,聚合物锂电池,
苹果,苹果12.9英寸iPad Pro（128GB/WiFi版）,2015,9,6688,4,128,iOS 9,苹果 A9X/M9,12.9,2732x2048,713,261,9,聚合物锂电池,
苹果,苹果12.9英寸iPad Pro（128GB/Cellular）,2015,9,5988,4,128,iOS 9,苹果 A9X/M9,12.9,2732x2048,723,261,9,聚合物锂电池,
苹果,苹果iPad 4（16GB/WiFi版）,2012,12,2888,1,16,iOS 6/7,苹果 A6X,9.7,2048x1536,652,73,8.3,聚合物锂电池,
苹果,苹果iPod touch（16GB）,,,2130,,,支持Windows XP /vista，Mac OS X 10.4.10或更高版本的操作系统,,3.5,480*320,115,16,8.6,,
苹果,苹果iPod touch 5（64GB）,2012,10,2290,,64,iOS 7,苹果 A5,4,1136x640,88,78,8.8,锂电池,
苹果,苹果iPod touch 4（8GB）,2012,8,1350,,8,iOS 5,,3.5,960x640,101,85,8.2,锂电池,
苹果,苹果iPod touch 4（32GB）,2012,4,1450,,32,iOS 5,,3.5,960x640,101,85,8.2,锂电池,
苹果,苹果iPod touch 4（64GB）,2012,2,2759,,64,iOS 5,,3.5,960x640,101,85,8.2,锂电池,
苹果,苹果The new iPad（32GB/WiFi版）,2012,5,4088,1,32,iOS 5.1,苹果 A5X,9.7,2048x1536,652,76,8.2,聚合物锂电池,
苹果,苹果The new iPad（64GB/WiFi版）,2012,5,4888,1,64,iOS 5.1,苹果 A5X,9.7,2048x1536,652,76,8.2,聚合物锂电池,
苹果,苹果The new iPad（32GB/Cellular）,2012,5,5088,1,32,iOS 5.1,苹果 A5X,9.7,2048x1536,662,76,8.2,聚合物锂电池,
苹果,苹果The new iPad（64GB/Cellular）,2012,5,5888,1,64,iOS 5.1,苹果 A5X,9.7,2048x1536,662,76,8.2,聚合物锂电池,
苹果,苹果iPad（16GB/WiFi版）,2010,,3200,,16,iOS,,9.7,1024×768,692,23,7.4,锂电池,
苹果,苹果The new iPad（16GB/Cellular）,2012,5,4388,1,16,iOS 5.1,苹果 A5X,9.7,2048x1536,662,76,8.2,聚合物锂电池,
苹果,苹果iPad mini 3（16GB/WiFi版）,2014,10,2800,1,16,iOS 8,苹果 A7,7.9,2048x1536,331,195,9.6,聚合物锂电池,
苹果,苹果iPad Air 2（16GB/WiFi版）,2014,10,2388,2,16,iOS 8,苹果 A8X,9.7,2048x1536,437,381,8.8,聚合物锂电池,
苹果,苹果iPod touch 2（8GB）,,,1750,,,苹果iOS,,3.5,480*320,115,9,7.6,,
苹果,苹果iPod touch 2（16GB）,,,2300,,,苹果iOS,,3.5,480*320,115,9,7.6,,
苹果,苹果iPod touch 2（32GB）,,,3150,,,苹果iOS,,3.5,480*320,115,9,7.6,,
苹果,苹果iPod touch 5（16GB）,2013,6,1450,,16,iOS 7,苹果 A5,4,1136x640,88,78,8.8,锂电池,
苹果,苹果12.9英寸iPad Pro（32GB/WiFi版）,2015,11,5488,4,32,iOS 9,苹果 A9X/M9,12.9,2732x2048,713,261,9,聚合物锂电池,
苹果,苹果iPad（32GB/WiFi版）,2010,,3450,,32,iOS,,9.7,1024×768,692,23,7.4,锂电池,
苹果,苹果iPad（64GB/WiFi版）,2010,,3650,,64,iOS,,9.7,1024×768,692,23,7.4,锂电池,
苹果,苹果iPad Air 2（16GB/Cellular）,2014,10,3099,2,16,iOS 8,苹果 A8X,9.7,2048x1536,444,381,8.8,聚合物锂电池,
苹果,苹果iPad Air 2（64GB/WiFi版）,2014,10,3588,2,64,iOS 8,苹果 A8X,9.7,2048x1536,437,381,8.8,聚合物锂电池,
苹果,苹果iPad Air 2（64GB/Cellular）,2014,10,4588,2,64,iOS 8,苹果 A8X,9.7,2048x1536,444,381,8.8,聚合物锂电池,
苹果,苹果iPad Air 2（128GB/WiFi版）,2014,10,3288,2,128,iOS 8,苹果 A8X,9.7,2048x1536,437,381,8.8,聚合物锂电池,
苹果,苹果iPad Air 2（128GB/Cellular）,2014,10,4399,2,128,iOS 8,苹果 A8X,9.7,2048x1536,444,381,8.8,聚合物锂电池,
苹果,苹果iPad mini 3（16GB/Cellular）,2014,10,3700,1,16,iOS 8,苹果 A7,7.9,2048x1536,341,195,9.6,聚合物锂电池,
苹果,苹果iPad mini 3（64GB/WiFi版）,2014,10,3400,1,64,iOS 8,苹果 A7,7.9,2048x1536,331,195,9.6,聚合物锂电池,
苹果,苹果iPad mini 3（128GB/Cellular）,2014,10,5050,1,128,iOS 8,苹果 A7,7.9,2048x1536,341,195,9.6,聚合物锂电池,
苹果,苹果iPad mini 3（128GB/WiFi版）,2014,10,4100,1,128,iOS 8,苹果 A7,7.9,2048x1536,331,195,9.6,聚合物锂电池,
苹果,苹果iPad mini 3（64GB/Cellular）,2014,10,4300,1,64,iOS 8,苹果 A7,7.9,2048x1536,341,195,9.6,聚合物锂电池,
苹果,苹果iPod touch 3（8GB）,,,1380,,,苹果iOS,,3.5,480×320,115,19,8.2,锂电池,
苹果,苹果12.9英寸新iPad Pro（512GB/WLAN）,2017,6,8888,,512,iOS 10,苹果 A10X,12.9,2732x2048,677,261,9,聚合物锂电池,
苹果,苹果iPod touch 3（32GB）,,,1399,,3,苹果iOS,,3.5,480×320,115,19,8.2,锂电池,
苹果,苹果iPod touch 3（64GB）,,,1499,,6,苹果iOS,,3.5,480×320,115,19,8.2,锂电池,
苹果,苹果iPad Air（32GB/WiFi版）,2013,10,2588,,32,iOS 8,苹果 A7,9.7,2048x1536,469,341,8.9,聚合物锂电池,
苹果,苹果iPad Air（64GB/WiFi版）,2013,10,3550,,64,iOS 7,苹果 A7,9.7,2048x1536,469,341,8.9,聚合物锂电池,
苹果,苹果iPad Air（128GB/WiFi版）,2013,10,4200,,128,iOS 7,苹果 A7,9.7,2048x1536,469,341,8.9,聚合物锂电池,
苹果,苹果iPad Air（16GB/Cellular）,2013,10,2288,,16,iOS 8,苹果 A7,9.7,2048x1536,478,341,8.9,聚合物锂电池,
苹果,苹果iPad Air（32GB/Cellular）,2013,10,4000,,32,iOS 8,苹果 A7,9.7,2048x1536,478,341,8.9,聚合物锂电池,
苹果,苹果iPad Air（64GB/Cellular）,2013,10,4600,,64,iOS 7,苹果 A7,9.7,2048x1536,478,341,8.9,聚合物锂电池,
苹果,苹果iPad Air（128GB/Cellular）,2013,10,5150,,128,iOS 7,苹果 A7,9.7,2048x1536,478,341,8.9,聚合物锂电池,
苹果,苹果iPad 2（16GB/WiFi+3G版）,2011,5,3800,0.5,16,iOS 4.3,苹果 A5,9.7,1024x768,613,107,8.4,聚合物锂电池,
苹果,苹果iPad 2（32GB/WiFi+3G版）,2011,5,4688,0.5,32,iOS 4.3,苹果 A5,9.7,1024x768,613,107,8.4,聚合物锂电池,
苹果,苹果iPad 2（32GB/WiFi版）,2011,5,3150,0.5,32,iOS 4.3,苹果 A5,9.7,1024x768,601,107,8.4,聚合物锂电池,
苹果,苹果iPad 2（64GB/WiFi版）,2011,5,4488,0.5,64,iOS 4.3,苹果 A5,9.7,1024x768,601,107,8.4,聚合物锂电池,
苹果,苹果iPad 2（64GB/WiFi+3G版）,2011,5,5450,0.5,64,iOS 4.3,苹果 A5,9.7,1024x768,613,107,8.4,聚合物锂电池,
苹果,苹果新款9.7英寸iPad（32GB/WiFi版）,2018,3,2588,,32,iOS 11,苹果 A10 Fusion,9.7,2048x1536,469,154,9.8,聚合物锂电池,8756
苹果,苹果iPad mini（16GB/WiFi版）,2012,10,1798,,16,iOS 8,苹果 A5,7.9,1024x768,308,206,8.4,锂电池,
苹果,苹果12.9英寸新iPad Pro（256GB/WLAN）,2017,6,8899,,256,iOS 10,苹果 A10X,12.9,2732x2048,677,261,9,聚合物锂电池,
苹果,苹果12.9英寸新iPad Pro（256GB/Cellular）,2017,6,8688,,256,iOS 10,苹果 A10X,12.9,2732x2048,692,261,9,聚合物锂电池,
苹果,苹果12.9英寸新iPad Pro（64GB/Cellular）,2017,6,7488,,64,iOS 10,苹果 A10X,12.9,2732x2048,692,261,9,聚合物锂电池,
苹果,苹果12.9英寸新iPad Pro（64GB/WLAN）,2017,6,5788,,64,iOS 10,苹果 A10X,12.9,2732x2048,677,261,9,聚合物锂电池,
苹果,苹果The new iPad（16GB/WiFi版）,2012,5,3388,1,16,iOS 5.1,苹果 A5X,9.7,2048x1536,652,76,8.2,聚合物锂电池,
苹果,苹果9.7英寸iPad Pro（128GB/WiFi版）,2016,3,4288,2,128,iOS 9.3,苹果 A9X/M9,9.7,2048x1536,437,167,9.6,聚合物锂电池,
苹果,苹果9.7英寸iPad Pro（256GB/WiFi版）,2016,3,5888,2,256,iOS 9.3,苹果 A9X/M9,9.7,2048x1536,437,167,9.6,聚合物锂电池,
苹果,苹果9.7英寸iPad Pro（32GB/Cellular）,2016,3,2368,2,32,iOS 9.3,苹果 A9X/M9,9.7,2048x1536,444,167,9.6,聚合物锂电池,
苹果,苹果9.7英寸iPad Pro（128GB/Cellular）,2016,3,5199,2,128,iOS 9.3,苹果 A9X/M9,9.7,2048x1536,444,167,9.6,聚合物锂电池,
苹果,苹果9.7英寸iPad Pro（256GB/Cellular）,2016,3,6388,2,256,iOS 9.3,苹果 A9X/M9,9.7,2048x1536,444,167,9.6,聚合物锂电池,
苹果,苹果12.9英寸iPad Pro（256GB/WiFi版）,2016,3,7099,4,256,iOS 9,苹果 A9X/M9,12.9,2732x2048,713,261,9,聚合物锂电池,
苹果,苹果12.9英寸iPad Pro（256GB/Cellular）,2016,3,8188,4,256,iOS 9,苹果 A9X/M9,12.9,2732x2048,723,261,9,聚合物锂电池,
苹果,苹果12.9英寸iPad Pro（64GB/WLAN）,2017,6,7278,,64,iOS 10,苹果 A10X,12.9,2732x2048,677,261,9,聚合物锂电池,
苹果,苹果iPod touch 4 白色（8GB）,2011,12,1350,,8,iOS 5,,3.5,960x640,101,85,8.2,锂电池,
苹果,苹果iPod touch 4 白色（32GB）,2011,10,1400,,32,iOS 5,,3.5,960x640,101,85,8.2,锂电池,
苹果,苹果iPod touch 4 白色（64GB）,2011,10,2998,,64,iOS 5,,3.5,960x640,101,85,8.2,锂电池,
苹果,苹果iPad 2（16GB/WiFi版）,2011,5,2700,0.5,16,iOS 4.3,苹果 A5,9.7,1024x768,601,107,8.4,聚合物锂电池,
