公司名称,产品名称,上市年份,上市月份,价格(元),运行内存(GB),存储容量(GB),操作系统,处理器型号,屏幕尺寸(英寸),屏幕分辨率,重量(g),评论人数,评分,电池类型,电池容量
荣耀,荣耀平板X8（4GB/128GB/WiFi版）,2022,9,1199,4,128,Magic UI 4.0（基于Android 10）,MediaTek MT8786,10.1,1920x1200,460,10,10,锂离子聚合物电池,5100
荣耀,荣耀平板6（4GB/128GB/WiFi）,2020,7,1699,4,128,,海思 麒麟710A,10.1,1920x1200,460,994,8.7,聚合物锂电池,
荣耀,荣耀平板6（4GB/128GB/LTE）,2020,7,1899,4,128,,海思 麒麟710A,10.1,1920x1200,460,994,8.7,聚合物锂电池,
荣耀,荣耀畅玩平板2（3GB/32GB/LTE版/9.6英寸）,2017,5,1289,3,32,Android7.0,骁龙425,9.6,1280x800,460,451,7.9,理论待机时间：约500小时,
中柏,中柏EZpad Pro8(8GB/128GB),2020,5,1559,8,128,Windows 10,Intel Apollo Lake N3450,11.6,1920x1080,600,1078,7.8,聚合物锂电池,9000
中柏,中柏EZpad Pro8(6GB/128GB),2020,5,1388,6,128,Windows 10,Intel Apollo Lake N3450,11.6,1920x1080,600,1078,7.8,聚合物锂电池,9000
中柏,中柏EZpad Pro8(12GB/128GB),2020,5,1748,12,128,Windows 10,Intel Apollo Lake N3450,11.6,1920x1080,600,1078,7.8,聚合物锂电池,9000
中柏,中柏EZpad M10S(6GB/128GB),,,849,6,128,,紫光展锐 虎贲T610,10.1,1920x1200,,18,9.8,锂电池,5000
中柏,中柏EZpad go（4GB/128GB）,2016,3,1799,4,128,Windows 10,Intel APOLLO LAKE N3450,11.6,1920*1080,800,132,9.7,聚合物锂电池,6500
中柏,中柏EZpad go（4GB/64GB）,2016,3,1498,4,64,Windows 10,Intel APOLLO LAKE N3450,11.6,1920*1080,800,16,10,聚合物锂电池,6500
中柏,中柏EZpadGo（4GB/64GB）,2019,3,1699,4,64,Windows 10,Intel 赛扬 N3450,11.6,1920x1080,800,0,0,聚合物锂电池,
中柏,中柏EZpadGo（4GB/128GB）,2019,3,1899,4,128,Windows 10,Intel 赛扬 N3450,11.6,1920x1080,800,0,0,聚合物锂电池,
酷比魔方,酷比魔方iPlay 50 Pro（8GB/128GB）,2022,12,869,8,128,Android12,联发科 Helio G99,10.4,2000x1200,466,12,10,锂电池,6000
酷比魔方,酷比魔方iWork GT(i3 1115G4/8GB/256GB),2022,,2899,8,256,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i3 1115G4,11,2000x1200,600,90,9.4,,
酷比魔方,酷比魔方iPlay 50（4GB/64GB）,2022,11,699,4,64,Android12,紫光展锐 虎贲T618,10.4,2000x1200,475,9,9.1,锂电池,6000
酷比魔方,酷比魔方iPlay 50 SE（4GB/64GB）,2023,3,579,4,64,Android12,联发科MT8183,10.5,1920x1080,,0,0,锂电池,5300
酷比魔方,酷比魔方iWork GT(i5 1135G7/8GB/256GB),2022,,3999,8,256,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,90,9.4,,
酷比魔方,酷比魔方iWork GT(i5 1135G7/16GB/1TB/悬浮磁吸键盘),2022,,6198,16,1024,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iPlay 50（6GB/128GB）,2022,11,899,6,128,Android12,紫光展锐 虎贲T618,10.4,2000x1200,475,0,0,锂电池,6000
酷比魔方,酷比魔方iWork GT(i3 1115G4/8GB/512GB),2022,,3499,8,512,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i3 1115G4,11,2000x1200,600,90,9.4,,
酷比魔方,酷比魔方iWork GT(i3 1115G4/8GB/256GB/磁吸键盘),2022,,3099,8,256,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i3 1115G4,11,2000x1200,600,90,9.4,,
酷比魔方,酷比魔方iWork GT(i5 1135G7/16GB/512GB),2022,,4999,16,512,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iWork GT(i3 1115G4/8GB/256GB/悬浮磁吸键盘),2022,,3199,8,256,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i3 1115G4,11,2000x1200,600,90,9.4,,
酷比魔方,CUBE（酷比魔方）iWork GT i5 1135G7 8GB 256GB 无,2022,,3599,8,256,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,90,9.4,,
酷比魔方,酷比魔方iWork GT(i5 1135G7/16GB/1TB/磁吸键盘),2022,,6098,16,1024,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iWork GT(i5 1135G7/8GB/1TB),2022,,4799,8,1024,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iWork GT(i5 1135G7/16GB/512GB/悬浮磁吸键盘),2022,,5398,16,512,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,90,9.4,,
酷比魔方,酷比魔方iPlay 50 Pro 教育版（8GB/128GB）,2022,12,999,8,128,Android12,联发科 Helio G99,10.4,2000x1200,466,12,10,锂电池,6000
酷比魔方,酷比魔方iWork GT(i5 1135G7/16GB/1TB),2022,,5799,16,1024,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,90,9.4,,
酷比魔方,酷比魔方iWork GT(i5 1135G7/16GB/512GB/磁吸键盘),2022,,5298,16,512,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,90,9.4,,
酷比魔方,酷比魔方iWork GT(i5 1135G7/16GB/256GB),2022,,4699,16,256,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iWork GT(i5 1135G7/8GB/1TB/磁吸键盘),2022,,5098,8,1024,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iWork GT(i5 1135G7/16GB/256GB/磁吸键盘),2022,,4998,16,256,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iWork GT(i5 1135G7/16GB/256GB/悬浮磁吸键盘),2022,,5098,16,256,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iWork GT(i5 1135G7/8GB/512GB),2022,,4499,8,512,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iPlay 50 Pro 老人版（8GB/128GB）,2022,12,999,8,128,Android12,联发科 Helio G99,10.4,2000x1200,466,12,10,锂电池,6000
酷比魔方,酷比魔方iWork GT(i5 1135G7/8GB/512GB/磁吸键盘),2022,,4798,8,512,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,90,9.4,,
酷比魔方,酷比魔方iWork GT(i5 1135G7/8GB/256GB/悬浮磁吸键盘),2022,,4398,8,256,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iWork GT(i3 1115G4/8GB/1TB/磁吸键盘),2022,,4098,8,1024,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i3 1115G4,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iWork GT(i3 1115G4/8GB/1TB),2022,,3799,8,1024,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i3 1115G4,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iPlay 50 教育版（4GB/64GB）,2022,11,799,4,64,Android12,紫光展锐 虎贲T618,10.4,2000x1200,475,0,0,锂电池,6000
酷比魔方,酷比魔方iWork GT(i5 1135G7/8GB/512GB/悬浮磁吸键盘),2022,,4898,8,512,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iWork GT(i3 1115G4/8GB/512GB/悬浮磁吸键盘),2022,,3898,8,512,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i3 1115G4,11,2000x1200,600,90,9.4,,
酷比魔方,酷比魔方iPlay 50 教育版（6GB/128GB）,2022,11,999,6,128,Android12,紫光展锐 虎贲T618,10.4,2000x1200,475,0,0,锂电池,6000
酷比魔方,酷比魔方iWork GT(i5 1135G7/8GB/256GB/磁吸键盘),2022,,4298,8,256,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,90,9.4,,
酷比魔方,酷比魔方iPlay 50 老人版（6GB/128GB）,2022,11,999,6,128,Android12,紫光展锐 虎贲T618,10.4,2000x1200,475,0,0,锂电池,6000
酷比魔方,酷比魔方iWork GT(i5 1135G7/8GB/1TB/悬浮磁吸键盘),2022,,5198,8,1024,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iWork GT(i3 1115G4/8GB/1TB/悬浮磁吸键盘),2022,,4198,8,1024,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i3 1115G4,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iWork GT(i3 1115G4/8GB/512GB/磁吸键盘),2022,,3798,8,512,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i3 1115G4,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iPlay 50 老人版（4GB/64GB）,2022,11,799,4,64,Android12,紫光展锐 虎贲T618,10.4,2000x1200,475,0,0,锂电池,6000
酷比魔方,酷比魔方K8GT豪华版,,,559,0.5,,Android4.0,RK2918,7,800×480,344,15,7,,
酷比魔方,酷比魔方U10GT2,,,899,0.5,,Android2.3,RK2918,8,1024×768,,1,8,,
酷比魔方,酷比魔方U7 Pro（4GB）,,,199,,,Android2.3,,4.3,432×272,,3,6.7,,
酷比魔方,酷比魔方U25GT,2012,12,299,,,Android4.1,RK2928 ARM Cortex-A9,7,1024x600,,24,5.8,锂电池,
酷比魔方,酷比魔方双核坚果（16GB）,2012,10,1104,1,16,Android4.0,RK3066 ARM Cortex-A9,9.7,1024x768,700,0,0,锂电池,
酷比魔方,酷比魔方Q7 PRO（8GB）,,,499,,,Android2.1,RK2818,5,800×480,,1,6,,
酷比魔方,酷比魔方U9GT（8GB）,,,759,0.5,,Android2.3,RK2918,7,800×600,,44,7.6,,
酷比魔方,酷比魔方U9GT普及版（8GB）,,,799,0.5,,Android2.3,RK2918,7,800×600,,0,0,,
酷比魔方,酷比魔方U9GT（16GB）,,,1499,0.5,1,Android2.3,RK2918,7,800×600,,44,7.6,,
酷比魔方,酷比魔方M8,2018,,699,3,32,Android8.0,Helio X27(MT6797X),8,1920x1200,345,15,10,锂电池,
酷比魔方,酷比魔方U30GT双核豌豆（16GB）,2012,11,700,1,16,Android4.0,RK3066 ARM Cortex-A9,10.1,1280x800,670,38,6.6,锂电池,
酷比魔方,酷比魔方U16GT（8GB）,2012,7,399,1,8,Android4.0,RK2918 ARM Cortex-A8,8,800x600,,0,0,锂电池,
酷比魔方,酷比魔方双核太阳花（16GB）,2012,7,1020,1,16,Android4.0,RK3066 ARM Cortex-A9,9.7,1024x768,660,1,6,锂电池,
酷比魔方,酷比魔方U18GT豪华版（8GB）,2012,5,399,1,8,Android4.0,RK2918 ARM Cortex-A8,7,1024x600,319.4,2,8,锂电池,
酷比魔方,酷比魔方U25GT双核,2013,6,349,0.5,8,Android4.2,RK3168 ARM Cortex-A9,7,1024x600,,3,7.2,锂电池,
酷比魔方,酷比魔方U15GT,,,669,0.5,,Android2.3,RK2918,5,800×480,,1,4,,
酷比魔方,酷比魔方U8GT,,,599,0.5,,Android2.3,RK2918,7,800×480,,12,7,,
酷比魔方,酷比魔方U8S酷淘版（8GB）,,,380,,,Android2.2,,7,800×480,679,3,7.3,,
酷比魔方,酷比魔方U3（4GB）,,,299,0.125,,Android2.2,RK2818,4.3,432×272,,6,9,,
酷比魔方,酷比魔方U9GT2（16GB）,,,1300,1,1,Android4.0,RK2918,9.7,1024×768,680,37,5.8,锂电池3.7V/8000mAh,
酷比魔方,酷比魔方i6 Air 3G双系统版,2015,1,1099,2,32,Android4.4 + Windows 8.1（双系统）,Intel Atom Z3735F,9.7,2048x1536,500,12,6.4,锂电池,
酷比魔方,酷比魔方K8M（8GB）,,,299,0.25,,Android2.2,RK2818,7,800×480,,10,2,锂电池3.7/3000mAh,
酷比魔方,酷比魔方U9,,,1249,0.25,,Android2.1,RK2818,7,800×600,,16,7,,
酷比魔方,酷比魔方K8GT,,,559,0.5,,Android2.3,RK2918,7,800×480,,8,4.8,4000mAh,
酷比魔方,酷比魔方飞漾X7,2017,6,999,3,32,Android6.0,联发科 MTK8783,10.1,1920x1200,,0,0,锂电池,
酷比魔方,酷比魔方U30GT双核豌豆MINI（16GB）,2013,,799,,16,Android4.0,RK3066 ARM Cortex-A9,7,1024x600,,0,0,锂电池,
酷比魔方,酷比魔方U30GT双核豌豆MINI（8GB）,2013,,699,,8,Android4.0,RK3066 ARM Cortex-A9,7,1024x600,,0,0,锂电池,
酷比魔方,酷比魔方U8（8GB）,,,759,0.25,,Android,,7,800×480,,4,7,,
酷比魔方,酷比魔方C1,2017,12,299,1,8,Android7.1,,7,1920x1080,271,0,0,锂电池,
酷比魔方,酷比魔方双核豌豆mini,2012,8,799,1,16,Android4.0,RK3066 ARM Cortex-A9,7,1024x600,320,5,7.6,锂电池,
酷比魔方,酷比魔方i6 Air Remix版,2015,11,699,2,32,Remix OS 1.0,Intel Atom Z3735,9.7,2048x1536,,0,0,锂电池,
酷比魔方,酷比魔方i10（双系统版）,2015,5,699,2,32,Android4.4 + Windows 8.1（双系统）,Intel Atom Z3735F,10.6,1366x768,,13,5.8,锂电池,
酷比魔方,酷比魔方U21GT,2012,7,599,1,,Android4.1,RK3066 ARM Cortex-A9,7,1280x800,,31,6.3,锂电池,
酷比魔方,酷比魔方U8S（4GB）,,,575,0.25,,Android2.2,,7,800×480,,7,7,,
酷比魔方,酷比魔方U17GT（8GB）,2012,3,999,1,8,Android4.0,RK2918 ARM Cortex-A8,7,1024x600,,19,7,锂电池,
酷比魔方,酷比魔方U8S（8GB）,,,599,0.25,,Android2.2,,7,800×480,,7,7,,
酷比魔方,酷比魔方太阳花（8GB）,2012,8,999,1,8,Android4.0,RK2918 ARM Cortex-A8,9.7,1024x768,660,0,0,锂电池,
酷比魔方,酷比魔方iwork11旗舰本,2017,1,1499,4,64,Windows 10,Intel Cherry Trail X5-Z8300,10.6,1920x1080,668,0,0,锂电池,
酷比魔方,酷比魔方M5X,2018,4,879,4,64,Android8.0,MTK Helio X27（MT6797）,10.1,2560x1600,510,16,8.6,锂电池,
台电,台电P20HD,2020,6,689,4,64,Android10,紫光展锐 虎贲 SC9863A,10.1,1920x1200,531,410,7.9,聚合物锂电池,6000
台电,台电P80 Pro,2018,3,499,2,32,Android7.0,,8,1920x1200,350,16,7.4,聚合物锂电池,
台电,台电P80X,,,499,2,32,Android9.0,紫光展锐 虎贲 SC9863A,8,1280x800,300,16,7.6,聚合物锂电池,
台电,台电X1 Pro 4G,2015,4,3888,4,128,Android4.2 + Windows 8.1（双系统）,Intel Core M-5Y10C,12.2,2560x1600,990,10,7,聚合物锂电池,
台电,台电P80S 四核,2015,4,299,0.5,8,Android4.4,全志A33 ARM Cortex-A7,8,1280x800,,1,8,聚合物锂电池,
台电,台电X80 Pro（双系统版）,2016,4,549,2,32,Android5.0 + Windows 10（双系统）,Intel Cherry Trail X5-Z8300,8,1920x1200,,4,6.8,聚合物锂电池,
台电,台电P80 4G八核版,2015,9,489,1,16,Android5.0,联发科 MT8735，搭载ARM Cortex-A53架构,8,1280x800,,10,6.7,聚合物锂电池,
台电,台电T720-3GE（8GB）,2010,,1580,,,Android2.1,,7,800×480,,10,2.7,,
台电,台电A15（8GB）,2011,2,899,1,8,Android4.0,RK2918 ARM Cortex-A8,9,1280x800,,6,6.7,锂电池,
台电,台电T760（8GB）,2011,10,988,0.5,8,Android2.3,RK2918 ARM Cortex-A8,7,1024x600,383.3,21,8.1,聚合物锂电池,
台电,台电P76a双核（8GB）,2012,12,349,1,8,Android4.1,RK3066 ARM Cortex-A9,7,1024x600,307.8,20,6.8,锂电池,
台电,台电T720VE,,,579,,,Android2.2,RK2818,7,800×480,,3,6.7,,
台电,台电P80h,2015,10,499,1,8,Android5.1,联发科 MT8163，搭载ARM Cortex-A53架构,8,1280x800,331.5,15,8.2,聚合物锂电池,
台电,台电P72（4GB）,,,769,0.5,,Android2.2,,7,800×480,346.2,12,8.2,4000mAh聚合物锂电池,
台电,台电P73（8GB）,2011,9,869,0.5,8,Android2.3,RK2918 ARM Cortex-A8,7,1024x600,,8,6.3,锂电池,
台电,台电P76Ti（8GB）,,,559,,,Android2.3,全志A10,7,800×480,,58,6.4,,
台电,台电P76e双核（8GB）,2012,11,469,1,8,Android4.1,RK3066 ARM Cortex-A9,7,800x480,333.5,7,8,锂电池,
台电,台电X16HD 3G,2014,12,799,2,32,Android4.4 + Windows 8.1（双系统）,Intel Atom Z3736F,10.6,1920x1080,,33,6.4,聚合物锂电池,
台电,台电T760VE（8GB）,2011,10,780,0.5,,Android2.3,RK2918 ARM Cortex-A8,7,1024x600,,5,6,锂电池,
台电,台电P86（8GB）,2012,8,499,0.5,8,Android4.0,全志A13 ARM Cortex-A8,8,800x600,444.5,25,6,锂电池,
台电,台电X16 Plus,2016,4,799,2,32,Android5.1,Intel Cherry Trail X5-Z8300,10.6,1920x1080,,9,5.3,聚合物锂电池,
台电,台电X98 Pro,2015,8,1399,4,64,Android5.1 + Windows 10（双系统）,Intel Cherry Trail T4-Z8500,9.7,2048x1536,525,26,5.5,聚合物锂电池,
台电,台电T720-WiFi（8GB）,2010,,930,,,Android2.1,,7,800×480,,10,2.7,,
台电,台电A10t双核（8GB）,2013,2,750,1,8,Android4.1,RK3066 ARM Cortex-A9,9.7,1024x768,,0,0,聚合物锂电池,
台电,台电P98 八核,2015,4,799,1,16,Android4.4,MT8151 ARM Cortex-A7,9.7,2048x1536,483,0,0,聚合物锂电池,
台电,台电X80 Power,2016,9,579,2,32,Android5.1 + Windows 10（双系统）,Intel Cherry Trail X5-Z8300,8,1920x1200,330,1,8.6,聚合物锂电池,
台电,台电G18 3G四核,2014,4,799,1,8,Android4.2,MTK8382 ARM Cortex-A7,7.9,1024x768,,12,8.8,聚合物锂电池,
台电,台电P70 3G八核,2015,2,399,1,8,Android4.4,MT8392 ARM Cortex-A7,7,1280x800,,9,8.2,聚合物锂电池,
台电,台电X98 Air Ⅲ,2015,9,699,2,32,Android5.0,Intel Atom Z3735F,9.7,2048x1536,,7,4.8,聚合物锂电池,
台电,台电X2 Pro,2015,9,2599,4,128,Windows 10,Intel 酷睿M,11.6,1920x1080,,8,6.6,聚合物锂电池,
台电,台电C520Ti（8GB）,,,479,0.25,,Android2.1,RK2818,5,800×480,180.4,11,8.2,,
台电,台电T720HD（8GB）,,,799,0.5,,Android,RK2918,7,800×480,,3,6.7,,
台电,台电P80T 8G四核版,2016,1,299,,8,Android4.4,瑞芯微 RK3126，搭载ARM Cortex-A7架构,8,1280x800,,3,8.7,聚能锂电池,
台电,台电TBook 11,2016,3,1099,4,64,Android5.1 + Windows 10（双系统）,Intel Cherry Trail X5-Z8300,10.6,1920x1080,620,14,7.3,聚合物锂电池,
台电,台电X10 3G八核,2016,3,569,1,16,Android5.1,联发科 MT8392，搭载ARM Cortex-A7架构,10.1,1280x800,,2,7,聚合物锂电池,
微软,微软Surface 3（4GB/128GB/Win10）,2016,2,3599,4,128,Windows 10,Intel Cherry Trail X7-Z8700,10.8,1920x1280,622,36,7.3,锂电池,
微软,微软Surface 3（4GB/128GB/WiFi）,2015,5,3999,4,128,Windows 8.1,Intel Atom x7-Z8700,10.8,1920x1280,622,36,7.3,锂电池,
微软,微软Surface 3（2GB/64GB/WiFi）,2015,6,2799,2,64,Windows 8.1,Intel Atom x7-Z8700,10.8,1920x1280,622,36,7.3,锂电池,
微软,微软Surface 3（4GB/64GB/WiFi版）,2015,5,4588,4,64,Windows 8.1,Intel Cherry Trail X7-Z8700,10.8,1920x1280,622,36,7.3,锂电池,
微软,微软Surface 3（2GB/64GB/Win10）,2016,2,3699,2,64,Windows 10,Intel Cherry Trail X7-Z8700,10.8,1920x1280,622,36,7.3,锂电池,
联想,联想拯救者 Y900 旗舰平板（12GB/256GB）,2023,3,5999,12,256,ZUI 15,联发科 天玑9000,14.5,3000x1876,735,1,10,锂电池,12300
联想,联想拯救者 Y700(12GB/256GB/WiFi版),2022,3,2388,12,256,,高通 骁龙870,8.8,2560x1600,375,1636,9.7,锂电池,6550
联想,联想拯救者 Y700(8GB/128GB/WiFi版),2022,3,2058,8,128,,高通 骁龙870,8.8,2560x1600,375,1636,9.7,锂电池,6550
联想,联想小新 Pad(6GB/128GB/WiFi),2020,11,1178,6,128,Android,高通 骁龙 870,11,2000x1200,490,1435,8.6,锂电池,7700
联想,联想小新 Pad 2022(4GB/64GB),2022,5,999,4,64,ZUI13.5（Android12）,高通 骁龙680,10.6,2000x1200,465,528,9.8,锂电池,7700
联想,联想小新 Pad Pro 2021,2021,6,2149,6,128,ZUI 12.5（基于Android 11）,高通 骁龙870,11.5,2560x1600,485,981,8.9,锂电池,8600
联想,联想小新Pad Pro 2022 骁龙版（8GB/128GB）,2022,8,2389,8,128,ZUI14（Android12）,高通 骁龙870,11.2,2560x1536,480,34,9.8,锂电池,8200
联想,联想小新 Pad 2022(6GB/128GB),2022,5,1179,6,128,ZUI13.5（Android12）,高通 骁龙680,10.6,2000x1200,465,528,9.8,锂电池,7700
联想,联想小新 Pad Plus,2021,6,1499,6,128,ZUI 12.5（基于Android 11）,高通 骁龙750G,11,2000x1200,520,2586,8.8,锂电池,7700
联想,联想小新Pad Pro 2022 迅鲲版（6GB/128GB）,2022,8,2199,6,128,ZUI14（Android12）,联发科 迅鲲1300T,11.2,2560x1536,480,34,9.8,锂电池,8200
联想,联想小新Pad Plus 2023,,,1699,6,128,ZUI 14,联发科Helio G99,11.5,2000*1200,520,33,8.9,锂电池,7700
联想,联想天骄 Pad(6GB/128GB/WiFi),2022,3,1629,6,128,Android11,联发科 Helio G90T,11,2000x1200,490,1490,8.9,锂电池,7700
联想,联想小新 Pad Pro 12.6(8GB/256GB),2021,11,4199,8,256,ZUI 13 for Pad（基于Android 11）,高通 骁龙870,12.6,2560x1600,565,283,8.4,锂电池,10200
联想,联想Tab M8,,,999,4,64,Android 9,联发科 Helio P22T,8,1920*1200,305,196,9.7,锂电池,5100
联想,联想拯救者 Y700(12GB/256GB/WiFi版/炫光蓝),2022,3,3299,12,256,,高通 骁龙870,8.8,2560x1600,375,1634,9.7,锂电池,6550
联想,联想Tab M10(32GB/Cellular版),,,1799,3,32,Android,高通 骁龙450,10.1,1920x1200,460,0,0,锂电池,
联想,联想M8,,,1199,4,64,Android4.4,联发科 Helio P22T,8,1920x1200,305,5,10,聚合物锂电池,毫安
联想,联想拯救者 Y700(12GB/256GB/WiFi版/冰魄白),2022,,3299,12,256,,高通 骁龙870,8.8,2560x1600,375,1634,9.7,锂电池,6550
联想,联想M10 PLUS(128GB/WiFi版),,,1299,4,128,Android P,联发科 P22T,10.3,1920x1200,480,416,8.1,锂电池,
联想,联想E10 TB-X104F,2020,1,749,2,16,Android 8.1,,10.1,1280x800,530,15,7.7,,
联想,联想YOGA TAB5,,,1599,4,64,Android 9,高通 骁龙439,10.1,1920x1200,580,16,7.6,锂电池,
联想,联想Miix 310（2GB/64GB）,2016,6,1699,2,64,Windows 10,Intel Cherry Trail X5-Z8300,10.1,1280x800,580,7,7.3,2芯锂电池,
联想,联想乐Pad V2007,2012,4,3850,1,16,Android3.2,高通 Qualcomm MSM8660,7,1280x800,357,1,8,锂电池,
联想,联想乐Pad V2010,2012,4,4800,1,16,Android3.2,高通 Qualcomm MSM8660,10.1,1280x800,706,4,8.5,锂电池,
联想,联想乐Pad Y1011 WLAN（32GB/3G版）玛奇朵棕,2011,1,2850,1,32,乐OS 2.0,,10.1,1280x800,760,63,7.5,2芯聚合物锂电池,
联想,联想IdeaPad Yoga11-TTH（日光橙）,2012,11,2300,2,32,Windows RT,Nvidia Tegra T30,11.6,1366x768,1240,21,6.8,锂电池,
联想,联想乐Pad Y1011 WLAN（32GB）百加地白,2011,3,2300,1,32,乐OS 2.0,,10.1,1280x800,760,63,7.5,2芯聚合物锂电池,
联想,联想乐Pad Y1011 WLAN（16GB/3G版）曼特宁黑,2011,1,2200,1,16,乐OS 2.0,,10.1,1280x800,760,63,7.5,2芯聚合物锂电池,
联想,联想乐Pad Y1011 WLAN（16GB）百加地白,2011,3,1850,1,16,乐OS 2.0,,10.1,1280x800,760,63,7.5,2芯聚合物锂电池,